plu,ean,name,brand,size,status,suggested_price,cost_price,stock,image_url,active
12292-4,4512048820435,4512048820435,SHOEI,56,Disponivel,6999.9,4117.58,0,,true
12293-1,4512048820442,4512048820442,SHOEI,58,Disponivel,6999.9,4117.58,0,,true
12294-8,4512048820459,4512048820459,SHOEI,60,Disponivel,6999.9,4117.58,0,,true
12295-5,4512048820466,4512048820466,SHOEI,62,Disponivel,6999.9,4117.58,0,,true
12296-2,4512048807719,4512048807719,SHOEI,64,Item não disponivel,6999.9,4117.58,0,,true
11893-4,4512048807535,4512048807535,SHOEI,56,Disponivel,6999.9,4117.58,0,,true
11894-1,4512048807542,4512048807542,SHOEI,58,Disponivel,6999.9,4117.58,0,,true
11895-8,4512048807559,4512048807559,SHOEI,60,Disponivel,6999.9,4117.58,0,,true
11896-5,4512048807566,4512048807566,SHOEI,62,Disponivel,6999.9,4117.58,0,,true
11897-2,4512048807573,4512048807573,SHOEI,64,Disponivel,6999.9,4117.58,0,,true
11889-7,4512048807603,4512048807603,SHOEI,56,Disponivel,6999.9,4117.58,0,,true
11890-3,4512048807610,4512048807610,SHOEI,58,Disponivel,6999.9,4117.58,0,,true
11891-0,4512048807627,4512048807627,SHOEI,60,Disponivel,6999.9,4117.58,0,,true
11892-7,4512048807634,4512048807634,SHOEI,62,Disponivel,6999.9,4117.58,0,,true
12444-7,4512048807641,4512048807641,SHOEI,64,Item não disponivel,6999.9,4117.58,0,,true
12757-8,4512048807955,4512048807955,SHOEI,56,Disponivel,6999.9,4117.58,0,,true
12758-5,4512048807962,4512048807962,SHOEI,58,Disponivel,6999.9,4117.58,0,,true
12759-2,4512048807979,4512048807979,SHOEI,60,Disponivel,6999.9,4117.58,0,,true
12760-8,4512048807986,4512048807986,SHOEI,62,Disponivel,6999.9,4117.58,0,,true
12761-5,4512048807993,4512048807993,SHOEI,64,Item não disponivel,6999.9,4117.58,0,,true
12287-0,4512048820589,4512048820589,SHOEI,56,Disponivel,6999.9,4117.58,0,,true
12288-7,4512048820596,4512048820596,SHOEI,58,Disponivel,6999.9,4117.58,0,,true
12289-4,4512048820602,4512048820602,SHOEI,60,Disponivel,6999.9,4117.58,0,,true
12290-0,4512048820619,4512048820619,SHOEI,62,Disponivel,6999.9,4117.58,0,,true
13889-5,4512048820626,4512048820626,SHOEI,64,Item não disponivel,6999.9,4117.58,0,,true
11884-2,4512048807740,4512048807740,SHOEI,56,Disponivel,6999.9,4117.58,0,,true
11885-9,4512048807757,4512048807757,SHOEI,58,Disponivel,6999.9,4117.58,0,,true
11886-6,4512048807764,4512048807764,SHOEI,60,Disponivel,6999.9,4117.58,0,,true
11887-3,4512048807771,4512048807771,SHOEI,62,Disponivel,6999.9,4117.58,0,,true
11888-0,4512048807788,4512048807788,SHOEI,64,Item não disponivel,6999.9,4117.58,0,,true
20113-1,4512048878139,4512048878139,SHOEI,56,Disponivel,6999.9,4705.82,0,,true
20114-8,4512048878146,4512048878146,SHOEI,58,Disponivel,6999.9,4705.82,0,,true
20115-5,4512048878153,4512048878153,SHOEI,60,Disponivel,6999.9,4705.82,0,,true
20116-2,4512048878160,4512048878160,SHOEI,62,Disponivel,6999.9,4705.82,0,,true
20117-9,4512048878177,4512048878177,SHOEI,64,Item não disponivel,6999.9,4705.82,0,,true
20029-5,4512048878474,4512048878474,SHOEI,56,Disponivel,7999.9,4705.82,0,,true
20036-3,4512048878481,4512048878481,SHOEI,58,Disponivel,7999.9,4705.8,0,,true
20044-8,4512048878498,4512048878498,SHOEI,60,Disponivel,7999.9,4705.82,0,,true
20055-4,4512048878504,4512048878504,SHOEI,62,Disponivel,7999.9,4705.82,0,,true
20058-5,4512048878511,4512048878511,SHOEI,64,Disponivel,7999.9,4705.82,0,,true
21215-1,4512048879211,4512048879211,SHOEI,56,Disponivel,7999.9,4705.82,0,,true
21218-2,4512048879228,4512048879228,SHOEI,58,Disponivel,7999.9,0,0,,true
21258-8,4512048879235,4512048879235,SHOEI,60,Disponivel,7999.9,4705.82,0,,true
21278-6,4512048879242,4512048879242,SHOEI,62,Disponivel,7999.9,4705.82,0,,true
26991-9,,0,SHOEI,64,Item não disponivel,7999.9,0,0,,true
20062-2,4512048878641,4512048878641,SHOEI,56,Disponivel,7999.9,4705.82,0,,true
20063-9,4512048878658,4512048878658,SHOEI,58,Disponivel,7999.9,4705.82,0,,true
20067-7,4512048878665,4512048878665,SHOEI,60,Disponivel,7999.9,4705.82,0,,true
20068-4,4512048878672,4512048878672,SHOEI,62,Item não disponivel,7999.9,4705.82,0,,true
20069-1,4512048878689,4512048878689,SHOEI,64,Item não disponivel,7999.9,4705.82,0,,true
17706-1,4512048856946,4512048856946,SHOEI,56,Disponivel,7999.9,4705.82,0,,true
17707-8,4512048856953,4512048856953,SHOEI,58,Disponivel,7999.9,4705.82,0,,true
17710-8,4512048856960,4512048856960,SHOEI,60,Disponivel,7999.9,4705.82,0,,true
17711-5,4512048856977,4512048856977,SHOEI,62,Disponivel,7999.9,4705.82,0,,true
17712-2,4512048856984,4512048856984,SHOEI,64,Disponivel,7999.9,4705.82,0,,true
25961-3,,0,SHOEI,56,Disponivel,7999.9,4705.82,0,,true
25962-0,,0,SHOEI,58,Disponivel,7999.9,4705.82,0,,true
25964-4,,0,SHOEI,60,Disponivel,7999.9,4705.82,0,,true
25963-7,,0,SHOEI,62,Disponivel,7999.9,4705.82,0,,true
25965-1,,0,SHOEI,64,Sob Consulta,7999.9,4705.82,0,,true
17460-2,4512048839239,4512048839239,SHOEI,56,Item não disponivel,7999.9,4705.82,0,,true
17461-9,4512048839246,4512048839246,SHOEI,58,Disponivel,7999.9,4705.82,0,,true
17463-3,4512048839253,4512048839253,SHOEI,60,Disponivel,7999.9,4705.82,0,,true
17465-7,4512048839260,4512048839260,SHOEI,62,Disponivel,7999.9,4705.82,0,,true
17466-4,4512048839338,4512048839338,SHOEI,56,Item não disponivel,7999.9,4705.82,0,,true
17467-1,4512048839345,4512048839345,SHOEI,58,Item não disponivel,7999.9,4705.82,0,,true
17468-8,4512048839352,4512048839352,SHOEI,60,Item não disponivel,7999.9,4705.82,0,,true
17469-5,4512048839369,4512048839369,SHOEI,62,Item não disponivel,7999.9,4705.82,0,,true
15806-0,4512048839284,4512048839284,SHOEI,56,Disponivel,7999.9,4705.82,0,,true
15807-7,4512048839291,4512048839291,SHOEI,58,Disponivel,7999.9,4705.82,0,,true
15808-4,4512048839307,4512048839307,SHOEI,60,Disponivel,7999.9,4705.82,0,,true
15809-1,4512048839314,4512048839314,SHOEI,62,Disponivel,7999.9,4705.82,0,,true
15801-5,4512048839383,4512048839383,SHOEI,56,Disponivel,7999.9,4705.82,0,,true
15802-2,4512048839390,4512048839390,SHOEI,58,Disponivel,7999.9,4705.82,0,,true
